"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 16 22:21:22 AEDT 2020","Mon Nov 16 22:21:23 AEDT 2020","559","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","Then I Validate ""Printed Chiffon Dress"" on the payments page","Then I Validate ""Printed Chiffon Dress"" on the payments page",""
"passed","Mon Nov 16 22:20:27 AEDT 2020","Mon Nov 16 22:20:28 AEDT 2020","766","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter ""firstname"" ""Vinit""","When I enter ""firstname"" ""Vinit""",""
"skipped","Mon Nov 16 21:42:18 AEDT 2020","Mon Nov 16 21:42:18 AEDT 2020","0","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter ""city"" ""Melbourne""","When I enter ""city"" ""Melbourne""",""
"passed","Mon Nov 16 22:20:28 AEDT 2020","Mon Nov 16 22:20:28 AEDT 2020","766","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter ""lastname"" ""Malhotra""","When I enter ""lastname"" ""Malhotra""",""
"skipped","Mon Nov 16 21:42:18 AEDT 2020","Mon Nov 16 21:42:18 AEDT 2020","0","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter ""mobile"" ""0449100411""","When I enter ""mobile"" ""0449100411""",""
"passed","Mon Nov 16 19:35:13 AEDT 2020","Mon Nov 16 19:35:14 AEDT 2020","525","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter postcode ""85006""","When I enter postcode ""85006""",""
"passed","Mon Nov 16 22:21:23 AEDT 2020","Mon Nov 16 22:21:23 AEDT 2020","1","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","Hook","Hook",""
"skipped","Mon Nov 16 21:42:18 AEDT 2020","Mon Nov 16 21:42:18 AEDT 2020","0","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter ""postcode"" ""85006""","When I enter ""postcode"" ""85006""",""
"passed","Mon Nov 16 19:35:14 AEDT 2020","Mon Nov 16 19:35:15 AEDT 2020","546","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter mobilephone ""0449100411""","When I enter mobilephone ""0449100411""",""
"passed","Mon Nov 16 22:20:34 AEDT 2020","Mon Nov 16 22:20:34 AEDT 2020","587","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter state ""Arizona""","When I enter state ""Arizona""",""
"passed","Mon Nov 16 22:20:33 AEDT 2020","Mon Nov 16 22:20:34 AEDT 2020","794","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter the ""city"" ""Melbourne""","When I enter the ""city"" ""Melbourne""",""
"passed","Mon Nov 16 19:35:08 AEDT 2020","Mon Nov 16 19:35:08 AEDT 2020","637","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter first name ""Vinit""","When I enter first name ""Vinit""",""
"passed","Mon Nov 16 22:20:35 AEDT 2020","Mon Nov 16 22:20:35 AEDT 2020","589","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I enter country ""United States""","When I enter country ""United States""",""
"passed","Mon Nov 16 22:20:46 AEDT 2020","Mon Nov 16 22:20:47 AEDT 2020","931","","Register on the website: Signup a new customer","","Register on the website: Signup a new customer","When I search a product ""Printed Chiffon Dress""","When I search a product ""Printed Chiffon Dress""",""
